title;author;link
Deez Nuts;sklxrd;https://huds.tf/forum/xthreads_attach.php/4121_1623940233_b1db0077/f938dfbe9046b189487799a6556b1f66/deez%20nuts.wav
(RUS) Свежий кабан�...;Makin' Bacon;https://huds.tf/forum/xthreads_attach.php/4120_1623933961_baf330f8/08a5aeb60cd3bf65c809371f781938f5/kaban.wav
Genesis Styled Crash Sound;Diacute;https://huds.tf/forum/xthreads_attach.php/4119_1623872827_eeaea0b5/afb90c2659b15f2ae58aeab46b4ed232/Killsound.wav
HELLO THERE WOOO WOOO;JokerDark;https://huds.tf/forum/xthreads_attach.php/4118_1623772115_ea9e085d/39302af407998f9ed5f9f632da931b1b/hitsound.wav
JOSH NICHOLS!!!!;crazy steve (crazy);https://huds.tf/forum/xthreads_attach.php/4117_1623767211_466db565/c749e8e0194aa1cd9465282d87153443/killsound.wav
Clean Phonk Cowbell;monkee wit hat;https://huds.tf/forum/xthreads_attach.php/4109_1623734775_bc94b49c/9bfb2f827d23c4db5b28a42220f8fc64/hitsound.wav
"Stabby - ""Sus""";arnoldzik203;https://huds.tf/forum/xthreads_attach.php/4101_1623532832_86387b60/c04b414a83b83a0b54349928b149f52c/stabby_sus.wav
"Slurgi - ""what?""";arnoldzik203;https://huds.tf/forum/xthreads_attach.php/4100_1623331097_0874189d/4655f8ad297fbf1e01a3ddf8e07b00d6/slurig_what.wav
Ultra Instinct Hitsound;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/4085_1622968243_5ab23ca6/0a9f13f4ab9d47e64043fca45c5f1b7e/hitsound.wav
Speedhook Hitsound;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/4084_1622968197_c0112c89/e1787d06998cd24d544600da9f4b07ab/hitsound.wav
"""The sad hitsound""";Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/4083_1622968156_bd9a3231/1bb21df501b1c4245c80d9de8446d64c/hitsound.wav
[Demoknight] Sword Killsound;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/4082_1622968074_43209e12/2e214a9a240473ee34927495379935db/killsound.wav
Weak Punch Killsound;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/4081_1622967992_d2c7df00/04293dea7d488762e4137fdcd6de49cd/killsound.wav
pee;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/4080_1622967924_e72c5083/b720394cd86f7d5cd9ad7a8911acf7ef/hitsound.wav
Excellent Snake! Killsound;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/4078_1622967710_e2e1c2e8/524bd6a7f15723798ae24092bc9cfb79/killsound.wav
Door Close hitsound;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/4077_1622967631_8cc0adb9/b78964dc10b3ec42f754570d7a9027df/hitsound.wav
Bow hitsound;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/4076_1622967481_4240d742/749bd46a8233ca0befb448571a9d573a/hitsound.wav
brrr;pengi♥;https://huds.tf/forum/xthreads_attach.php/4071_1622874504_50f001d2/128e3aa2a54fd0ed10bb893893a2a254/brrr.wav
what da dog;pengi♥;https://huds.tf/forum/xthreads_attach.php/4070_1622874468_75697348/fc67bc7d9a2686be6a839147093fc6f6/whatdadogdoin.wav
Chiaki Nanami - Nope;ShiroSeby;https://huds.tf/forum/xthreads_attach.php/4065_1622829962_9de470fd/676af061cdfed284c16a1d1dccd03327/killsound.wav
Garello;Garcello;https://huds.tf/forum/xthreads_attach.php/4050_1622304600_6a752b87/f69efbddca492ddd75cc79f3eff1154c/Garello.wav
Cough;Garcello;https://huds.tf/forum/xthreads_attach.php/4049_1622304464_d27c52d7/60c3fa8a081432f9174af803f72da25f/hitsound.wav
Calliope - WHAT;Mirren;https://huds.tf/forum/xthreads_attach.php/4046_1622237883_4d3029c4/528d6cf5e308cae5a073257db50d6c8c/Calliope%20-%20WHAT.wav
OKTOBERFEST! (MEDIC;licenciado hamburguesa;https://huds.tf/forum/xthreads_attach.php/4045_1622136345_41a66478/93b0d52c671a001b721d58c9b28e153b/hitsound%20%282%29.wav
EEEUGH (Cricrobal);licenciado hamburguesa;https://huds.tf/forum/xthreads_attach.php/4044_1622125287_5417aeed/f12f92fa4edcc09368690a992d1007e2/killsound.wav
NEIN (MEDIC);licenciado hamburguesa;https://huds.tf/forum/xthreads_attach.php/4043_1622125158_7e7d5deb/edc4c28211714e302ee61209a6fa82de/hitsound.wav
Moto truco (solo truco);Xeoml;https://huds.tf/forum/xthreads_attach.php/4041_1621791394_35b97b6f/8b0960592bb5ec0432a56720d8e8c779/killsound.wav
Moto truco (solo moto);Xeoml;https://huds.tf/forum/xthreads_attach.php/4040_1621791376_8e56bb8d/0315cab35bb70700b0bd67355236e2ef/hitsound.wav
M1 Garand Bullet Sound;The Funny;https://huds.tf/forum/xthreads_attach.php/4036_1621628943_90187f14/0bb886367bf41db1add95b14ef92f0db/killsound.wav
TOM & JERRY (TOM SCREAM ) ...;M00NDA;https://huds.tf/forum/xthreads_attach.php/4033_1621623026_67e8d054/eb0bfb7195b28e2b45b3da9486030787/killsound.wav
WOOOOOOOO;SirPeep;https://huds.tf/forum/xthreads_attach.php/4022_1621461256_4868c5aa/fd2a8cebc43ed50b78b3b091576215ef/killsound.wav
seth rogen PUSSY (sound effect...;M00NDA;https://huds.tf/forum/xthreads_attach.php/4017_1621388340_b1e2f48c/933556850409ea37560693152f8e51c4/hitsound.wav
P*ssy SFX;RoB_ci;https://huds.tf/forum/xthreads_attach.php/4016_1621376726_dd06317e/a0bcfaa597076dfe358d5625585fa7b9/killsound.wav
(PODEL oow) sound effect  kill...;M00NDA;https://huds.tf/forum/xthreads_attach.php/4015_1621282825_f237c03e/4622e682f3a0ae7d4c06c6a643152683/killsound.wav
Screaming Sheep;Ceezyr;https://huds.tf/forum/xthreads_attach.php/4012_1621115114_908280c4/e1a73e33a075a36758565660ac9e7d7a/killsound.wav
Mega Man Zero 3 : Cubit Foxtar...;tha.;https://huds.tf/forum/xthreads_attach.php/4010_1620988243_869fac44/518ab3781671a726cdeae5641c64488a/Cubit%20Foxtar%20Laugh.wav
ugh part 2;luminousbear;https://huds.tf/forum/xthreads_attach.php/4009_1620935017_4e2865d4/1480caa8a8e577ba38af40286adc7553/ugh%20fnf%20sound%20effect.wav
Tankman: UGH!;luminousbear;https://huds.tf/forum/xthreads_attach.php/4008_1620934008_09cdcdf0/76dd04fca8afb24cc216c8bf0ef6329c/FNF%20Tankman%20Says%20Ugh%20Sound%20Effect.wav
Toasty! (Mortal Kombat);BrochachoTheBro;https://huds.tf/forum/xthreads_attach.php/4007_1620863735_ac3cfd21/53a642a030cfc67475f657374d89c842/killsound.wav
Mega Man Zero 4 : Popla Cocape...;tha.;https://huds.tf/forum/xthreads_attach.php/4005_1620527508_49fff5eb/951d9be930855b8bab8f723379054110/killsound.wav
Oink Oink Ñackson;Daeemian;https://huds.tf/forum/xthreads_attach.php/4004_1620519170_2d65f538/ac4e8c7bea1d9e2e47b4032fde0ddbc4/oink.wav
Chancho culiao, Ñackson;Daeemian;https://huds.tf/forum/xthreads_attach.php/4001_1620518602_73f06216/4cc72f0f0c05c9b7a322d1251c205bcf/videoplayback%20%28mp3cut.net%29.wav
Megaman X6 Nightmare Zero Deat...;tha.;https://huds.tf/forum/xthreads_attach.php/4000_1620482922_5760a944/e13e7dc7e264244e049d3ccd89b4e1cc/killsound.wav
JIXAW FALLING PIPE HITSOUND (l...;M00NDA;https://huds.tf/forum/xthreads_attach.php/3999_1620479749_9be3d4fc/fcdafb5ba37260884e08f88df2f9a10a/killsound.wav
Something familiar;Pog;https://huds.tf/forum/xthreads_attach.php/3997_1620406962_0a87ee10/55746d8a7c58800ee66c7c85a74189ec/Sainfield%20Killsound.wav
dead;iceman40;https://huds.tf/forum/xthreads_attach.php/3996_1620249692_e00200a7/17e12675063663740ad4018baeb4cebc/killsound.wav
palkia's roar;iceman40;https://huds.tf/forum/xthreads_attach.php/3995_1620249673_f7364fc8/66b9dc9dc220709f25cbdb72e24100a7/hitsound.wav
Among us Hitsound;IceboundCat6;https://huds.tf/forum/xthreads_attach.php/3987_1619911576_b146581a/b2abc34b95cecf2bd2c01645295f2401/hitsound_sus.wav
Tin can;Skip;https://huds.tf/forum/xthreads_attach.php/3986_1619801380_34a7c7c2/de12f43e94cf3904b48634fdd992031f/hitsound.wav
a;Pog;https://huds.tf/forum/xthreads_attach.php/3985_1619728003_6fe20c70/eaf991b71ff328683be87fe4ba0be04b/Ah%20Killsound.wav
Gaaaaaaaaa;Juan.Fortnite.2008;https://huds.tf/forum/xthreads_attach.php/3984_1619534461_d31de48b/18c1cc4b7f3db8ff142783a42061691e/killsound.wav
ara ara 02;pf;https://huds.tf/forum/xthreads_attach.php/3983_1619512203_921e1b17/04e10540e01bcb074f611afd9977793c/hitsound.wav
ara ara 01;pf;https://huds.tf/forum/xthreads_attach.php/3982_1619512159_e5f592a8/d57f3efc81a4ffd5201854e21ac5356a/killsound.wav
"GioCk's "" GALA "" Hit...";Seeva;https://huds.tf/forum/xthreads_attach.php/3979_1619364777_e4008af9/90219bef620fd5b292893a75364ceb5b/hitsound.wav
BLOWER.Ayy!;muhammad ali (real);https://huds.tf/forum/xthreads_attach.php/3977_1619245805_6dd11ad2/52a03f79895daac09903a86fb21f44b9/BLOWER.Ayy%21%20edit.wav
BLOWER.simplehit;muhammad ali (real);https://huds.tf/forum/xthreads_attach.php/3976_1619245266_62e6010e/edbf50b00e92b4bd02dd818d307e312f/hitsound.wav
Huge gamer;Firetrash;https://huds.tf/forum/xthreads_attach.php/3975_1619213181_8f68ddee/f800952b641e63179524c283bea9fe55/killsound.wav
JohnnyUtah is grossed out (FNF...;Uberransy;https://huds.tf/forum/xthreads_attach.php/3973_1619066465_eb42708b/b74233018b10bbe981f8658e7874b8f8/ugh.wav
Life lost (rondo of blood);habit;https://huds.tf/forum/xthreads_attach.php/3972_1618970702_914662b5/959551ad4687a38ff2283326a7e69b61/killsound.wav
Life lost (Simon's Quest);habit;https://huds.tf/forum/xthreads_attach.php/3971_1618970616_eb593b7b/1fa4f3e557b8dfd2092e05ccecc05bc4/killsound.wav
Discord;Nekus;https://huds.tf/forum/xthreads_attach.php/3969_1618846057_df4e045d/075f377a1714e4035ad2b20bfbc100c4/hitsound.wav
Corehound Death (Remastered);Bucketlord;https://huds.tf/forum/xthreads_attach.php/3968_1618729262_a1e41ac6/0935652635befd34eed4222dabe48adc/killsound.wav
Corehound Attack Hitsound (Rem...;Bucketlord;https://huds.tf/forum/xthreads_attach.php/3967_1618728895_2e615671/e97a23ca263d6d2623e3248b8c03bccb/hitsound.wav
Fakhael jackson Shmona;DTK Cxalis;https://huds.tf/forum/xthreads_attach.php/3966_1618713868_46023a0f/65f857deb212713561235ba3072c9645/Killsound.wav
Fakhael jackson moan sound;DTK Cxalis;https://huds.tf/forum/xthreads_attach.php/3965_1618713840_b29dace8/fde92c195811aa08574f47e84882f2ae/hitsound.wav
FFT Death Sound;lokm;https://huds.tf/forum/xthreads_attach.php/3964_1618688000_667eb4b8/5bd2619e17d7e696d72ddf80f0df17bf/killsound.wav
"Markiplier's ""Was that th...";joke (3);https://huds.tf/forum/xthreads_attach.php/3963_1618630222_f72da8a3/8b8f84836f405c1b22b4a9d177ac7fd3/killsound.wav
FUCK;habit;https://huds.tf/forum/xthreads_attach.php/3961_1618587081_d836a655/766b2dd90727697dbe1249e09741d0d1/killsound%20%2814%29.wav
Humans! (SotN);habit;https://huds.tf/forum/xthreads_attach.php/3960_1618587058_a0e2b0da/7146d9dd7c6e8f245ff3ed1d3a3a577d/hitsound%20%286%29.wav
flesh (SotN);habit;https://huds.tf/forum/xthreads_attach.php/3959_1618587029_be262086/7c1b4782344c7bdd31ee1349c10db1c4/hitsound%20%285%29.wav
Die monster;habit;https://huds.tf/forum/xthreads_attach.php/3958_1618586991_3fe6bd8a/113848a55a34162048e1c160add996a0/killsound%20%2813%29.wav
Life lost (castlevania);habit;https://huds.tf/forum/xthreads_attach.php/3957_1618586911_1c8fdf72/4ad69b5e0bf93bff4f8f2472e46bac6f/killsound%20%2812%29.wav
Duck Hunt Killsound 2;habit;https://huds.tf/forum/xthreads_attach.php/3956_1618586857_1959eb4c/a9694488fb1404dd2486548849a7a1e1/killsound%20%2811%29.wav
Rude Buster Opening Sound Effe...;Fulbone(r);https://huds.tf/forum/xthreads_attach.php/3955_1618584670_de64e0ee/cfa60b947381b2d5ed92b04599ef4f49/rude_buster_shing.wav
Gruul Wound Hitsound (Remaster...;Bucketlord;https://huds.tf/forum/xthreads_attach.php/3954_1618538252_d398b350/5caa0535eb4b436b6c5cbf5b945d937a/hitsound.wav
Gruul Death Sound (Remastered);Bucketlord;https://huds.tf/forum/xthreads_attach.php/3953_1618512361_daa2541e/d0e085110c594dcfab0b3ee9840ccbfc/killsound.wav
toyota;Oz;https://huds.tf/forum/xthreads_attach.php/3952_1618506302_7daa3c9d/b1f25e6295a895c08a47ea05e5d22086/hitsound.wav
"""WHAT?!"" From OneyPl...";angry george;https://huds.tf/forum/xthreads_attach.php/3951_1618468243_404bb5cd/09c7eeae4fd3cb1fc8656b1d08d485e8/killsound.wav
"""Seven Realms!"" From...";angry george;https://huds.tf/forum/xthreads_attach.php/3950_1618468173_bb025633/21a5a41aea91dd800595b4acd2b0da58/hitsound.wav
Jerma Gulp;hoodie;https://huds.tf/forum/xthreads_attach.php/3949_1618421870_b81399dd/a78bc26fae453af3b7104af03c0d7c7e/JermaGulpHitsound.wav
DBD Trickster Max Laceration;Vulcan;https://huds.tf/forum/xthreads_attach.php/3947_1618257216_81955763/2208450e908653d80969580e1ab78230/killsound.wav
DBD Trickster Knife Impact;Vulcan;https://huds.tf/forum/xthreads_attach.php/3946_1618256975_f0ef9b2e/ea9367ec3255febf4b636b762f452b05/hitsound.wav
GG Faust G-SPOTTO;Vulcan;https://huds.tf/forum/xthreads_attach.php/3945_1618173262_8062e853/19770b8550c433c8b8de046b2b37b6fc/killsound.wav
GG Faust Boing;Vulcan;https://huds.tf/forum/xthreads_attach.php/3944_1618173190_551a2239/3e550fa9c012873c62dee69eb8e5de11/hitsound.wav
LBP Prize Bubble;Vulcan;https://huds.tf/forum/xthreads_attach.php/3943_1618102763_671dc636/f18f6acc26d618d90770bae0fc047ab2/killsound.wav
LBP Score Bubble;Vulcan;https://huds.tf/forum/xthreads_attach.php/3942_1618102695_da0ae550/1f54780dc6e6020132b9143d554b5967/hitsound.wav
Button 2 Cut Version Hitsound;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/3940_1617978308_5d789d62/1ac07165345dc17a2b38bec5ffbcb44b/hitsound.wav
Blip1 Hitsound;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/3939_1617978095_e05f1abf/0f7329265d0cdd0161e2226f7a1c1f01/hitsound.wav
Oh My Gosh;Slayarch;https://huds.tf/forum/xthreads_attach.php/3938_1617933025_fba930d1/065fdb36c9085f3a1b06651d5d7c10f8/killsound.wav
